Ano;Trimestre;Categoria;Tipo;CNPJ IF;Instituição financeira;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade total de clientes – CCS e SCR;Quantidade de clientes – CCS;Quantidade de clientes – SCR;
2021;1º;Grupo Secundário;Conglomerado; ;ABC-BRASIL (conglomerado); ;2;3;4;9;26230;24698;3810;
2021;1º;Grupo Secundário;Conglomerado; ;AGIBANK (conglomerado);54,79;58;140;73;271;1058431;790848;693843;
2021;1º;Grupo Secundário;Banco/financeira;36321990;AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;3;3;0;6;420692;129;420563;
2021;1º;Grupo Secundário;Banco/financeira;27214112;AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO; ;1;1;0;2;12645;4979;10112;
2021;1º;Grupo Secundário;Conglomerado; ;ALFA (conglomerado); ;14;44;15;73;412135;268186;145105;
2021;1º;Grupo Secundário;Conglomerado; ;ANDBANK (conglomerado); ;0;2;1;3;4383;4382;52;
2021;1º;Grupo Secundário;Banco/financeira;03532415;BANCO ABN AMRO S.A.; ;0;0;3;3;98;71;31;
2021;1º;Grupo Secundário;Banco/financeira;54403563;BANCO ARBI S.A.; ;1;0;0;1;18087;9312;8838;
2021;1º;Grupo Secundário;Banco/financeira;02992446;BANCO CNH INDUSTRIAL CAPITAL S.A.; ;0;1;2;3;28352;1238;27399;
2021;1º;Grupo Secundário;Banco/financeira;08357240;BANCO CSF S.A.;22,53;165;94;51;310;7322283; ;7322283;
2021;1º;Grupo Secundário;Banco/financeira;04902979;BANCO DA AMAZONIA S.A.; ;4;1;7;12;540684;459756;194221;
2021;1º;Grupo Secundário;Banco/financeira;10690848;BANCO DA CHINA BRASIL S.A.; ;0;1;0;1;469;452;32;
2021;1º;Grupo Secundário;Banco/financeira;05040481;BANCO DE LAGE LANDEN BRASIL S.A.; ;0;1;0;1;36713;3;36711;
2021;1º;Grupo Secundário;Banco/financeira;92874270;BANCO DIGIMAIS S.A.;484,31;143;36;54;233;295260;168966;177621;
2021;1º;Grupo Secundário;Banco/financeira;27098060;BANCO DIGIO S.A.;25,71;40;100;64;204;1555646;594244;1515429;
2021;1º;Grupo Secundário;Banco/financeira;13009717;BANCO DO ESTADO DE SERGIPE S.A.; ;11;25;9;45;1066464;834281;599884;
2021;1º;Grupo Secundário;Banco/financeira;04913711;BANCO DO ESTADO DO PARÁ S.A.;46,20;39;10;12;61;844056;758236;347013;
2021;1º;Grupo Secundário;Banco/financeira;07237373;BANCO DO NORDESTE DO BRASIL S.A.; ;19;8;20;47;8512373;7928582;3161435;
2021;1º;Grupo Secundário;Banco/financeira;58616418;BANCO FIBRA S.A.; ;1;2;2;5;163619;3832;160325;
2021;1º;Grupo Secundário;Banco/financeira;62237425;BANCO FIDIS S/A; ;0;2;0;2;6907;185;6739;
2021;1º;Grupo Secundário;Banco/financeira;04866275;BANCO INBURSA S.A.; ;1;5;1;7;12367;12;12357;
2021;1º;Grupo Secundário;Banco/financeira;91884981;BANCO JOHN DEERE S.A.; ;0;1;0;1;15036;254;14848;
2021;1º;Grupo Secundário;Banco/financeira;59118133;BANCO LUSO BRASILEIRO S.A.; ;0;1;0;1;10071;4711;5719;
2021;1º;Grupo Secundário;Banco/financeira;78632767;BANCO OURINVEST S.A.; ;0;1;0;1;42561;40252;2342;
2021;1º;Grupo Secundário;Banco/financeira;61820817;BANCO PAULISTA S.A.; ;0;0;1;1;26002;7898;18366;
2021;1º;Grupo Secundário;Banco/financeira;00795423;BANCO SEMEAR S.A.; ;4;0;1;5;290731;2996;287950;
2021;1º;Grupo Secundário;Banco/financeira;11970623;BANCO SENFF S.A.; ;8;12;2;22;77251;106;77156;
